nickname,characterName,position,attribute1,attribute2,attribute3,hand,hand(rarityName),head,head(rarityName),chest,chest(rarityName),waist,waist(rarityName),leg,leg(rarityName),foot,foot(rarityName),accessories1,accessories1(rarityName),accessories2,accessories2(rarityName),recovery,recovery(rarityName),accelerator,accelerator(rarityName),attack,attack(rarityName),defense,defense(rarityName),special,special(rarityName),neck,neck(rarityName),accessories3,accessories3(rarityName),accessories4,accessories4(rarityName),random,level,killCount,deathCount,assistCount,attackPoint,damagePoint,battlePoint,sightPoint,getCoin,spendConsumablesCoin,sentinelKillCount,demolisherKillCount,playTime,minLifeTime,maxLifeTime,responseTime,team,matchId,map
조로님,카를로스,근거리딜러,속전속결,사냥꾼의 본능,거인 사냥꾼,S 제피르 팰컨,유니크,S 할렘 비트,유니크,S 데스티니 차일드,유니크,S 라스트 카니발,유니크,S 카르데시즘,유니크,S 펑크 딜라이트,유니크,SB태클 루인,레어,라이징 발람,레어,윈드 스파클링,레어,스피드 브리즈,언커먼,이펙트 이펙션,레어,베링거 터틀본,언커먼,싸이클론 맥시머,레어,S 브리즈 페스티벌,유니크,제트킥 마엘스톰,레어,싸이클론 플랜트,유니크,False,56,9,12,5,37449,52033,188,245,18600,3100,17,13,1347,25,173,384,1,45b361015d618d6378d19948eb1062d0b8cdb6bd24be42b31f33ba13e7b6e86f,메트로폴리스
린저씨,까미유,서포터,코인 은행,할인 판매,협동 공격,E 마일드 위스퍼,유니크,S 시크릿 도트레,유니크,E 미라클 레지던트,유니크,RA럭셔리 마크,레어,언릴레이어블,레어,E 광명의 천사,유니크,충각 미스터리,레어,DB광충 루차,레어,식혜,레어,리세스 스프린터,레어,파워 에이스,레어,메디슨 타즈,레어,교향곡 맥시머,레어,E 마일드 프러시져,유니크,이면충 미스터리,레어,시크릿 가든,유니크,False,42,1,8,15,8518,39392,194,273,11800,980,9,7,1036,33,188,219,0,23f6050065e154b16c4abf02ec29ed5b380c42ead1b3e485150577e65869f9ba,브리스톨
추잡한철수,로라스,근거리딜러,최후의 일격,사냥꾼의 본능,거인 사냥꾼,E 에이션트 드래곤,유니크,E 투도르 드라군,유니크,E 아마듀라스,유니크,E 토너먼트 라비타 ,유니크,E 토너먼트 샬러릿,유니크,E 팔아므,유니크,SB심판 루인,레어,투창 슈타르크,레어,드래곤 스파클링 ,레어,런업 스프린터,레어,드래곤 파이크 ,레어,드래곤 타즈 ,레어,용성락 맥시머,레어,E 인테그리 드라군,유니크,나선창 아가레스,레어,골드니토 프레스,유니크,False,42,5,6,6,28635,24893,99,208,15180,3500,28,21,1036,52,408,183,0,23f6050065e154b16c4abf02ec29ed5b380c42ead1b3e485150577e65869f9ba,브리스톨
쏘지마라아군이다,트리비아,원거리딜러,완벽주의자,전장의 학살자,전장의 열기,E 미스틱 포그,유니크,E 블러드 카니발,유니크,E 트리니티 블러드,유니크,E 블랙버드 블러섬 ,유니크,S 그림자 자국,유니크,E 포르미체티,유니크,밤의여왕-변이,레어,부츠커터 보티스,레어,체스터 더블버거,레어,런업 스프린터,레어,배트 파이크,레어,배트 타즈 ,레어,박쥐폭풍 임팩트,언커먼,E 엘루어 배트,유니크,박쥐폭풍 보티스,레어,시엘 루드플리가,유니크,False,41,8,5,4,41058,21916,84,211,14680,3500,19,19,1036,56,570,109,0,23f6050065e154b16c4abf02ec29ed5b380c42ead1b3e485150577e65869f9ba,브리스톨
시비털면던진다,루시,원거리딜러,완벽주의자,회피 사격,준비된 한 발,E 섬섬옥수,유니크,E 오발선빈,유니크,E 지체투향,유니크,E 세류요,유니크,E 작장중무,유니크,E 연보소말,유니크,낙화 청옥석,레어,반월 청옥석,레어,체스터 더블버거,레어,댄싱 엑셀,레어,파이크 이펙션,레어,스테민 터틀,레어,비단향꽃무 맥시머,레어,E 적월선,유니크,화무 청옥석,레어,절세가인,유니크,False,38,3,10,8,25760,35418,125,194,12340,2300,10,18,1036,17,159,304,0,23f6050065e154b16c4abf02ec29ed5b380c42ead1b3e485150577e65869f9ba,브리스톨
너희한테실망했다,이글,근거리딜러,추격자의 발걸음,사냥꾼의 본능,거인 사냥꾼,E 브리닝 슈나이더,유니크,S 스크라이 쇼크 ,유니크,E 언밸런스 레퀴엠,유니크,E 화이트 샤르페,유니크,E 킬 블레이드 ,유니크,E 바이스 슈트름,유니크,장작 엘리고스,레어,SB뱀그림자 루차,레어,체스터 더블버거,레어,리세스 스프린터,레어,스네이크 파이크 ,레어,스네이크 타즈 ,레어,하드스킨 크래셔,레어,E 라이언트 소드,유니크,SB초승달 데브,레어,쉬베르트 바이스,유니크,False,41,1,7,4,20497,25945,72,119,12950,2500,20,22,888,9,186,184,0,0d125b35ac3be1302a8b5c24f9bc631880bafe573227e9caba5e8c0ca14c332c,메트로폴리스
번개아저씨,휴톤,탱커,전투 태세,재생의 숨결,최후의 저항,E 블래스터 비트 ,유니크,S 해일매리 패스,유니크,S 터스킨 ,유니크,S 데모닉 펀쳐,유니크,E 스톤 크래셔,유니크,S 아이언 룰러,유니크,지옥구멍 레그람,레어,바야바 아몬,레어,본 스파클링 ,레어,런업 스프린터,레어,아이리쉬 이펙트 ,레어,아이리쉬 타즈 ,레어,드래곤 플라이R,커먼,S 브레이킹 스매쉬,유니크,서든어퍼 레그람,레어,누크 퓨리피스트,유니크,False,31,2,6,3,16922,29411,188,255,9910,2900,11,4,888,10,291,127,0,0d125b35ac3be1302a8b5c24f9bc631880bafe573227e9caba5e8c0ca14c332c,메트로폴리스
참교육으로가는길,다이무스,탱커,최후의 저항,재생의 숨결,전선 유지,E 메이헨 슈나이더,유니크,S 베스페리아 ,유니크,S 우아한 궤적,유니크,E 골드 샤르페,유니크,EP이터널 소드,레어,E 슈발츠 슈트름,유니크,장작 라이픈 C,언커먼,질풍의 레그람,레어,액트 스파클링 ,레어,질풍의 스프린터 ,레어,질풍의 파이크 ,레어,하디스트 스위퍼,레어,절명도 맥시머,레어,S 냉정한 카리스마,유니크,보름달 레그람,레어,쉬베르트 루프리,유니크,False,28,4,8,6,25969,43154,234,304,10650,4000,1,4,888,19,194,193,0,0d125b35ac3be1302a8b5c24f9bc631880bafe573227e9caba5e8c0ca14c332c,메트로폴리스
도그놈,루시,원거리딜러,완벽주의자,사냥꾼의 본능,전장의 열기,E 섬섬옥수,유니크,E 오발선빈,유니크,E 지체투향,유니크,S 세류요,유니크,E 작장중무,유니크,E 연보소말,유니크,낙화 청옥석,레어,반월 청옥석,레어,체스터 더블버거,레어,송편,레어,파이크 이펙션,레어,스테민 터틀,레어,반월 임팩트,언커먼,E 적월선,유니크,화무십일홍 결의,레어,절세가인,유니크,False,38,5,6,4,20558,25795,114,196,12150,1700,15,11,888,13,203,171,0,0d125b35ac3be1302a8b5c24f9bc631880bafe573227e9caba5e8c0ca14c332c,메트로폴리스
계영,파수꾼 A,원거리딜러,충동 구매,할인 판매,완벽주의자,E 어센던트,유니크,S 피어싱 아이즈,유니크,S 무형의 감옥,유니크,E 짜여진 각본,유니크,S 하빈저,유니크,E 에고이스트,유니크,클로 에델슈타인,레어,크로우 편지함,레어,체스터 더블버거,레어,레이븐 스프린터 ,레어,파이크 이펙션,레어,레이븐 타즈,레어,워든 맥시머,레어,E 잔혹한 모략가,유니크,SB시프트 데브,레어,그라시아 에피칵스,유니크,False,49,5,6,7,30497,23902,193,198,14290,1590,18,25,888,16,170,192,0,0d125b35ac3be1302a8b5c24f9bc631880bafe573227e9caba5e8c0ca14c332c,메트로폴리스
홍빌영,티모시,탱커,불굴의 의지,재생의 숨결,최후의 저항,E 덱스트러스,유니크,S 이너 스트랭스,유니크,E 레클러메이션,유니크,E 뉴 비기닝,유니크,S 오소틱,유니크,S 내딛은 걸음,유니크,번 버스터 레그람,레어,잿불 레그람,레어,애쉬 스파클링 ,레어,송편,레어,애쉬 파이크 ,레어,솔리드 스위퍼,레어,PS 레이더 R4,언커먼,S 달콤한 죄책감,유니크,화염포 펜슬,레어,라스트 릭,유니크,False,39,2,3,19,12658,28224,265,345,12290,2700,1,4,888,110,270,75,1,0d125b35ac3be1302a8b5c24f9bc631880bafe573227e9caba5e8c0ca14c332c,메트로폴리스
추잡한철수,테이,근거리딜러,최후의 일격,전세역전,거인 사냥꾼,S 호사수구,유니크,E 용주,유니크,S 의금지영,유니크,E 백낙일고,유니크,S 공명수죽백,유니크,S 극세척도,유니크,암영 포켓스퀘어,레어,SB흑풍각 루차,레어,체스터 더블버거,레어,리세스 스프린터,레어,월흔 파이크,레어,스테민 닷지,레어,PS 레이더 R4,언커먼,E 붉은 반그림자,유니크,SB무영격 데브,레어,도주지부,유니크,False,57,19,3,5,60547,17547,154,212,19090,3700,42,8,888,57,479,67,1,0d125b35ac3be1302a8b5c24f9bc631880bafe573227e9caba5e8c0ca14c332c,메트로폴리스
고등학교일학년,루이스,근거리딜러,속전속결,사냥꾼의 본능,거인 사냥꾼,E 아이스 에이지,유니크,E 윈터 크루제이드,유니크,E 프로즌 시티,유니크,S 아이스 토퀴즈 ,유니크,E 절대영도,유니크,E 크리스탈 크랙 ,유니크,아이스링크-결정,레어,리볼버 파이몬,레어,첼시 더블 버거,레어,스프린터 프로빅,레어,아이스 이펙트 ,레어,아이스 타즈 ,레어,리볼버 임팩트,언커먼,E 프로즌 하트,유니크,드라이 파이몬,레어,프로즌 브레이크,유니크,False,49,8,4,10,35621,22811,116,180,15290,2700,20,13,888,18,360,152,1,0d125b35ac3be1302a8b5c24f9bc631880bafe573227e9caba5e8c0ca14c332c,메트로폴리스
캐럴라인15세,론,탱커,불굴의 의지,재생의 숨결,최후의 저항,E 자발적 복종,유니크,E 완벽한 계획,유니크,E 화이트 플래너,유니크,E 검은 의도,유니크,E 계획적 행동이론,유니크,E 모래위의 발자국,유니크,SB블래스팅 베티,레어,스팅어 데스링,레어,체스터 더블버거,레어,엑셀레이션,레어,샌드 파이크,레어,스테민 닷지,레어,T2 통신기,언커먼,E 맹렬한 모래바람,유니크,더스트 토루소,레어,설계된 죽음,유니크,False,48,1,2,17,16463,24629,207,267,14150,2200,18,11,888,82,586,39,1,0d125b35ac3be1302a8b5c24f9bc631880bafe573227e9caba5e8c0ca14c332c,메트로폴리스
쮺,엘리,원거리딜러,태세전환,사냥꾼의 본능,전장의 열기,E 행복한 상상,유니크,E 미유미유,유니크,E 러블리 드리머,유니크,S 심술맞은 고양이,유니크,E 땡글땡글,유니크,E 사박사박 발걸음,유니크,깜짝 쥬빌레,레어,팽이 쥬빌레,레어,체스터 더블버거,레어,런업 스프린터,레어,폭죽 파이크 ,레어,솔리드 스위퍼,레어,별똥별 맥시머,레어,S 콩닥콩닥 마음,유니크,반짝 쥬빌레,레어,신나는 폭죽상자,유니크,False,50,3,7,11,22918,21232,85,101,14770,1900,23,14,888,15,235,144,1,0d125b35ac3be1302a8b5c24f9bc631880bafe573227e9caba5e8c0ca14c332c,메트로폴리스
N0ZE,헬레나,원거리딜러,완벽주의자,사냥꾼의 본능,전장의 열기,애달픈 모성,레어,E 위어리 아이즈,유니크,E 치프 리서처,유니크,길티 필링스,레어,E 숨겨둔 그리움,유니크,E 이기적인 선택,유니크,활성화 폴리오,레어,시약 폴리오,레어,체스터 더블버거,레어,스프린터 프로빅,레어,넬스 크리민S,언커먼,스테민 닷지,레어,T2 통신기,언커먼,E 간절한 바람,유니크,포인트 차트,레어,파기된 기록,유니크,False,43,8,5,5,21493,21823,86,113,14200,3300,15,24,976,29,355,149,0,1f5f2712db13746b9616fd740e6f97003b86c5c0df0f155bd65f5d29db4ec353,브리스톨
섹시민이,트리비아,원거리딜러,완벽주의자,사냥꾼의 본능,전장의 열기,E 미스틱 포그,유니크,E 블러드 카니발,유니크,E 트리니티 블러드,유니크,E 블랙버드 블러섬 ,유니크,E 그림자 자국,유니크,E 포르미체티,유니크,킬힐 큐라이어,레어,부츠커터 보티스,레어,체스터 더블버거,레어,배트 스프린터 ,레어,파이크 이펙션,레어,스테민 터틀,레어,T1 통신기,언커먼,S 엘루어 배트,유니크,폭풍 샤피니스트,레어,시엘 루드플리가,유니크,False,48,6,6,8,23864,25176,72,119,14380,1600,19,14,976,9,183,218,0,1f5f2712db13746b9616fd740e6f97003b86c5c0df0f155bd65f5d29db4ec353,브리스톨
풍운,루시,원거리딜러,완벽주의자,사냥꾼의 본능,전장의 열기,E 섬섬옥수,유니크,S 오발선빈,유니크,E 지체투향,유니크,E 세류요,유니크,S 작장중무,유니크,E 연보소말,유니크,낙화 청옥석,레어,반월 청옥석,레어,체스터 더블버거,레어,리세스 스프린터,레어,댄싱 이펙트 ,레어,솔리드 스위퍼,레어,비단향꽃무 맥시머,레어,E 적월선,유니크,화무 청옥석,레어,절세가인,유니크,False,44,9,8,1,40491,18046,140,181,14350,3200,18,17,942,26,178,229,0,63c28a9aad9dfcfa3bff042cad4040a979089cf579bd04d5b0e89f6ae72b3f98,그랑플람 아시아 지부
번개아저씨,휴톤,탱커,전투 태세,재생의 숨결,최후의 저항,E 블래스터 비트 ,유니크,S 해일매리 패스,유니크,S 터스킨 ,유니크,S 데모닉 펀쳐,유니크,E 스톤 크래셔,유니크,S 아이언 룰러,유니크,지옥구멍 레그람,레어,바야바 아몬,레어,본 스파클링 ,레어,런업 스프린터,레어,아이리쉬 이펙트 ,레어,아이리쉬 타즈 ,레어,드래곤 플라이R,커먼,S 브레이킹 스매쉬,유니크,서든어퍼 레그람,레어,누크 퓨리피스트,유니크,False,35,2,7,7,19722,44055,213,307,10710,3200,7,7,942,66,216,162,0,63c28a9aad9dfcfa3bff042cad4040a979089cf579bd04d5b0e89f6ae72b3f98,그랑플람 아시아 지부
달콤한설레임,루이스,근거리딜러,속전속결,사냥꾼의 본능,거인 사냥꾼,E 아이스 에이지,유니크,E 윈터 크루제이드,유니크,E 프로즌 시티,유니크,E 아이스 토퀴즈 ,유니크,E 절대영도,유니크,E 크리스탈 크랙 ,유니크,아이스링크-결정,레어,리볼버 파이몬,레어,아이스 스파클링 ,레어,아이스 스프린터 ,레어,아이스 이펙트 ,레어,베링거 터틀본,언커먼,영구동토 맥시머,레어,E 프로즌 하트,유니크,드라이 파이몬,레어,프로즌 브레이크,유니크,False,43,2,8,8,22654,28495,136,233,12330,1600,5,20,942,49,213,217,0,63c28a9aad9dfcfa3bff042cad4040a979089cf579bd04d5b0e89f6ae72b3f98,그랑플람 아시아 지부
Solfa,엘리,원거리딜러,완벽주의자,회피 사격,전장의 열기,E 행복한 상상,유니크,S 미유미유,유니크,S 러블리 드리머,유니크,E 심술맞은 고양이,유니크,E 땡글땡글,유니크,E 사박사박 발걸음,유니크,깜짝 쥬빌레,레어,DB통통 베티,레어,체스터 더블버거,레어,페스티네이션,레어,파이크 이펙션,레어,솔리드 스위퍼,레어,별똥별 맥시머,레어,S 콩닥콩닥 마음,유니크,반짝 쥬빌레,레어,신나는 폭죽상자,유니크,False,32,0,13,8,35258,30463,160,174,10350,2100,10,9,942,11,114,294,0,63c28a9aad9dfcfa3bff042cad4040a979089cf579bd04d5b0e89f6ae72b3f98,그랑플람 아시아 지부
Regen,티엔,탱커,불굴의 의지,재생의 숨결,최후의 저항,E 흑룡 벽산장,유니크,E 황랑 토신,유니크,S 흑패왕 복호,유니크,E 금모 호파,유니크,E 백경파 정문,유니크,S 외파 흑단화,유니크,진각 레그람,레어,파죽 레그람,레어,첼시 콜라 V,레어,비룡 엑셀,레어,승천룡 파이크 ,레어,승천룡 타즈 ,레어,PS 레이더 R4,언커먼,E 황금룡 청환,유니크,발경 레그람,레어,무흔 강룡주,레어,False,25,0,11,4,9970,57126,266,387,8770,3300,13,6,942,23,98,190,0,63c28a9aad9dfcfa3bff042cad4040a979089cf579bd04d5b0e89f6ae72b3f98,그랑플람 아시아 지부
강해져서돌아오마,토마스,원거리딜러,완벽주의자,사냥꾼의 본능,전장의 열기,E 아이스 컴포지션,유니크,E 눈꽃의 지휘,유니크,E 윈터 히어로,유니크,SP얼음 조각사,레어,E 미스틱 아이스,유니크,S 블리자드 기어 ,유니크,빙산 포에부스,레어,서릿발 제파르,레어,첼시 콜라 V,레어,리세스 스프린터,레어,프로스트 파이크 ,레어,닷지 실피드,레어,하드스킨 크래셔,레어,S 프로스트 솔리드,유니크,냉각 제파르,레어,허리케인 스위퍼,유니크,False,48,4,3,17,21774,22601,157,236,14570,1800,15,11,942,39,430,117,1,63c28a9aad9dfcfa3bff042cad4040a979089cf579bd04d5b0e89f6ae72b3f98,그랑플람 아시아 지부
HWHHAKWH,에바,탱커,전투 태세,재생의 숨결,최후의 저항,S 트랜센던트 그립,유니크,S 모험의 전율,유니크,S 기간틱 타이푼,유니크,S 끊임없는 도전,유니크,S 그래플링 테크닉,유니크,S 나의 공격리듬은!,유니크,반잡 눈,레어,스파이어 레그람,레어,첼시 콜라 V,레어,파이터 엑셀,레어,파이크 이펙션,레어,솔리드 스위퍼,레어,PS 레이더 R1,커먼,E 무도가의 자세,유니크,슈타이너 레그람,레어,수플렉스 레그람,레어,False,33,2,4,19,14833,41451,307,426,11790,4400,8,2,942,80,308,87,1,63c28a9aad9dfcfa3bff042cad4040a979089cf579bd04d5b0e89f6ae72b3f98,그랑플람 아시아 지부
아냥아냥이,미아,원거리딜러,완벽주의자,전장의 학살자,완전한 성장,S 이볼브 가이아,유니크,E 디바인 그레이스,유니크,E 옐로우 루트웨이브,유니크,E 프릭클 에린,유니크,E 와일드 크로스,유니크,E 이네이쳐 게브,유니크,도장 바이리프,레어,가시 바이리프,레어,체스터 더블버거,레어,우드 엑셀,레어,우드 파이크 ,레어,솔리드 스위퍼,레어,세계수 맥시머,레어,S 레드 크로니클,유니크,뿌리 바이리프,레어,트리콜로 트와인,유니크,False,49,12,1,17,48364,19969,208,284,17510,4300,24,15,942,271,627,44,1,63c28a9aad9dfcfa3bff042cad4040a979089cf579bd04d5b0e89f6ae72b3f98,그랑플람 아시아 지부
현냥현냥이,제이,탱커,최후의 저항,전세역전,불굴의 의지,E 패스티스트 건,유니크,E 퍼니시먼트,유니크,E 헤븐즈 도어,유니크,E 트러블 메이커,유니크,E 데스페라도,유니크,S 퀵 앤 데드,유니크,스프리건 피스톨,레어,니들 터퀴즈,레어,퍼니시 스파클링,레어,따끈한 호박죽,레어,퍼니시 파이크,레어,황색 다식,레어,PS 레이더 R4,언커먼,E 멕시칸 불독,유니크,난사 레그람,레어,블러디아,유니크,False,50,13,2,18,32570,31605,223,301,15910,2800,31,8,942,73,544,58,1,63c28a9aad9dfcfa3bff042cad4040a979089cf579bd04d5b0e89f6ae72b3f98,그랑플람 아시아 지부
감기걸려디질듯,카로슈,근거리딜러,속전속결,사냥꾼의 본능,거인 사냥꾼,E 팬텀 페인,유니크,E 기울어진 세계,유니크,E 펄스 오브 라이프,유니크,E 움켜쥔 미래,유니크,E 잃어버린 꿈,유니크,E 서블리메이션,유니크,SB체인건 루인,레어,SB커터 루차,레어,첼시 더블 버거,레어,런업 스프린터,레어,이펙트 이펙션,레어,솔리드 스위퍼,레어,커터 임팩트,언커먼,E 죽음의 대가,유니크,트윈 배럴 건케이스,레어,어나더 던,유니크,False,65,15,3,12,60644,12469,141,204,21370,3200,30,36,942,76,359,149,1,63c28a9aad9dfcfa3bff042cad4040a979089cf579bd04d5b0e89f6ae72b3f98,그랑플람 아시아 지부
테그하,도일,근거리딜러,속전속결,사냥꾼의 본능,거인 사냥꾼,E 크래쉬 다운,유니크,E 하드워크 버밍험,유니크,E 디스트로이어,유니크,S 타로우 ,유니크,E 진보적 파괴,유니크,E 하드 불도저 ,유니크,실버볼트-근육,레어,회전의 이포스,레어,파워 스파클링 ,레어,해머 페스티나,레어,해머 이펙트 ,레어,해머 타즈 ,레어,S펀치 맥시머,레어,E 디스트로이 심볼,유니크,캐논어퍼 이포스,레어,S펀치 이포스,레어,False,31,1,10,3,8782,19441,78,142,9750,1800,13,11,822,28,157,224,0,9623c8bcaf673ea822d80d49fa6bb09eb27e2cadd269df2bf0f99c88861033db,리버포드
